Flow,VolFlow,P_bar,T_C,MA,Power,S6_Pres,Method,SS_MassFlow,SS_VolFlow,SS_SuctionP,SS_DischargeP,SS_Ratio,SS_Duty_kW,SS_LMTD,SS_MinAppr,SS_UA_kWC,SS_ExpInletT
700,3800,3.9,-110.0,1.6617367716369387,838.3652959177476,17.328023195668358,Secant,4.470290453711807,1.0555555555555556,390.0,1732.8023195668356,4.4430828706841945,901.8883411349759,7.951398569909287,1.6617367716369387,0.11342512052508834,-110.00007532991799
800,3500,4.4,-105.38313062770065,1.9382662745903616,891.008773058657,21.380570473793256,Secant,4.638352011315985,0.9698219259289477,440.0,2138.0570473793255,4.859220562225739,940.6350477238893,8.9866840484444,1.9382662745903616,0.10466986962635164,-105.38312501179354
800,3550,4.4,-106.49146718074773,1.919817846270746,897.6902227003953,21.23027501732871,Secant,4.696208478016823,0.9820171363071489,440.0,2123.0275017328713,4.825062503938344,955.6228768688752,8.953768830981238,1.919817846270746,0.10672856256488242,-106.49175351910796
800,3600,4.4,-107.56458856270159,2.0317940148462057,906.511922000385,20.975086139206095,Secant,4.784073854457557,1.0,440.0,2097.5086139206096,4.767065031637748,975.0784579553736,9.090977976744794,2.0317940148462057,0.10725781763520671,-107.56526356448808
800,3650,4.4,-108.45638224667712,1.9741781130475573,912.0077697520471,20.778637353884314,Secant,4.838706563515943,1.0115665455187672,440.0,2077.8637353884315,4.722417580428253,988.4248617938038,8.973479140299014,1.9741781130475573,0.11014956922949592,-108.4563744366647
800,3700,4.4,-109.21686106505165,1.9802763978297406,918.8156881360742,20.492473096453992,Secant,4.9107630432359555,1.0265994470111781,440.0,2049.247309645399,4.657380249194088,1003.6848807741496,8.925024846180937,1.9802763978297406,0.11245737665409766,-109.21685201869676
800,3750,4.4,-109.49143234890677,2.02476747637499,924.5190663790453,20.112047127670124,Secant,4.985677431282877,1.0420622808445499,440.0,2011.2047127670123,4.5709198017432096,1016.3411722283722,8.897241354964974,2.02476747637499,0.11423104439683632,-109.49139477748491
800,3800,4.4,-109.69678771928383,1.9255760507576056,923.0939679743344,20.23212789701968,Secant,4.96221521929912,1.0375153057690483,440.0,2023.2127897019684,4.598210885686291,1014.0903386153627,8.781336518211198,1.9255760507576056,0.11548245947667406,-109.69684032417086
900,3500,4.7,-101.49374888425119,1.2096370494318123,936.459149780437,22.853817105570382,Secant,4.954697189253632,0.9722222222222223,470.0,2285.3817105570383,4.8625142777809325,997.6883149485384,7.715827848169495,1.2096370494318123,0.12930411805198974,-101.4937216141573
900,3550,4.8,-103.2793180813546,2.159057413956674,965.1102049788531,23.193419703282842,Secant,5.148772276889972,0.9861111111111112,480.0,2319.3419703282843,4.8319624381839255,1039.8038752063553,9.38818297600273,2.159057413956674,0.1107566690875341,-103.28025057417372
