Flow_Set,P_Set,T_Adj4_Set,Time,S1_Pres,S1_Temp,S1_Flow,S10_Flow,S6_Pres,Power,MA,UA,LMTD,Status
600,3.8,-119,18:06:52,3.8000000000000003,36.79851293127609,15333.699114714704,600.0,17.58470536937617,253.6418789882408,3.637886625724491,80.91540932249556,10.971097945344459,OK
600,3.8,-120,18:06:54,3.8000000000000003,37.13376556125843,15333.699114714704,600.0,17.55973860070885,253.5083387832657,3.302636441200434,84.62361467906537,10.548690406088884,OK
600,3.9,-118,18:07:32,3.9,35.315427988856186,15891.638022118446,600.0,17.97719473951764,262.23136815161854,5.102850011908821,71.71547043086088,12.697314210529672,OK
600,3.9,-119,18:07:34,3.9,35.65709626333569,15891.638022118446,600.0,17.94949467240393,262.079452636928,4.763913862356887,74.32722312540002,12.320092106555043,OK
600,3.9,-120,18:07:36,3.9,35.996285455264456,15891.638022118446,600.0,17.921873242491078,261.92810830941795,4.424731691270239,77.17950378909816,11.931255210061806,OK
600,3.9,-121,18:07:37,3.9,36.33563891122776,15891.638022118446,600.0,17.89443682415772,261.77684084872976,4.085402972035979,80.30997749075947,11.53021634130049,OK
600,3.9,-122,18:07:39,3.9,36.67549926087611,15891.638022118446,600.0,17.866907611797615,261.6262199251689,3.745552768199289,83.7688050444134,11.11567601624035,OK
700,3.8,-106,18:11:55,3.8000000000000003,28.47964576541898,23075.25468382378,700.0,-327.67,361.2077961347199,-32767.0,-32767.0,-32767.0,OK
700,3.8,-107,18:11:56,3.8000000000000003,28.47964576541898,23075.25468382378,700.0,-327.67,361.2077961347199,-32767.0,-32767.0,-32767.0,OK
700,3.8,-108,18:11:58,3.8000000000000003,28.47964576541898,23075.25468382378,700.0,-327.67,361.2077961347199,-32767.0,-32767.0,-32767.0,OK
700,3.8,-109,18:11:59,3.8000000000000003,28.47964576541898,23075.25468382378,700.0,-327.67,361.2077961347199,-32767.0,-32767.0,-32767.0,OK
700,3.8,-110,18:12:01,3.8000000000000003,28.47964576541898,23075.25468382378,700.0,-327.67,361.2077961347199,-32767.0,-32767.0,-32767.0,OK
700,4.0,-107,18:13:32,4.0,36.66017581834172,16050.112884227481,700.0,18.690374721246716,266.30231140670435,3.0416106678145525,80.13450622936139,11.083790106991588,OK
700,4.0,-108,18:13:34,4.0,37.01480136306384,16029.465765762205,700.0,18.688848553383938,265.9777215733105,3.47247883329824,83.2766259836032,10.716414769060565,OK
700,4.0,-109,18:13:36,4.0,37.34570832959798,16029.465765762205,700.0,18.66548782851566,265.82945036465367,3.140909619758716,86.8349782171454,10.335941335524577,OK
700,4.0,-110,18:13:37,4.0,37.67780102500484,16029.465765762205,700.0,18.641926714872277,265.6814270101993,2.8088123360348547,90.91511990015553,9.92822446906556,OK
700,4.0,-111,18:13:39,4.0,38.01040772651595,16029.465765762205,700.0,18.618193050337684,265.53488026971155,2.4761998635119795,95.63597032328947,9.491609743483668,OK
700,4.0,-112,18:13:41,4.0,38.34310527929853,16029.465765762205,700.0,18.59427919392181,265.39179241315014,2.143554367715616,101.16607821581862,9.023404316012796,OK
700,4.2,-115,18:15:19,4.2,37.02637731492308,16999.89094910756,700.0,19.4672518219158,280.691433299409,3.4290222359471585,89.58181155138915,10.905013944618506,OK
