Reliq_Flow_Set,Pressure_Inlet_Set,Time,Pressure_Inlet_Act,Temp_Inlet,Flow_Inlet_Act,Reliq_Flow_Act,Power_Comp,Min_Approach,LMTD,UA,Pressure_Outlet,Status
1450,7.4,14:28:42,7.4,37.27298673139671,29143.1660642398,1450.0,487.74973395087784,3.2931127615738163,11.908124550662727,139.33328913832258,35.80920851691598,OK
1450,7.5,14:28:44,7.5,37.06217229265019,29143.1660642398,1450.0,491.0279999916323,3.4997363588311856,12.29687970126564,135.23727839526828,36.64600251866231,OK
1450,7.6,14:28:47,7.6000000000000005,36.88468615866174,29143.1660642398,1450.0,494.19175141863076,3.67432350631033,12.631486841080156,131.94511869177336,37.44914448210216,OK
1500,7.2,14:28:50,7.2,39.45652684752645,29143.1660642398,1500.0,479.4444097945172,1.0954844603746352,8.11147253933515,204.90268644195754,33.70222032275401,OK
1500,7.3,14:28:52,7.3,39.12571288496457,29143.1660642398,1500.0,483.04901182298545,1.4438326072429675,8.923289652995441,186.7758207506323,34.69986902895942,OK
1500,7.4,14:28:54,7.4,38.85990313560529,29143.1660642398,1500.0,486.5258096394095,1.7263461738930062,9.545149218569795,175.05738579645833,35.62884890559335,OK
1500,7.5,14:28:57,7.5,38.63781605321094,29143.1660642398,1500.0,489.82089904835567,1.943400759317484,10.015101560578177,167.22826783069792,36.47758816424856,OK
1500,7.6,14:28:59,7.6000000000000005,38.45423971655657,29143.1660642398,1500.0,493.0081486767253,2.124823342818594,10.405135772922101,161.31186287515098,37.284336866969184,OK
1500,7.7,14:29:01,7.7,38.29374963338881,29143.1660642398,1500.0,496.11215186648053,2.2821025173908396,10.74458717608457,156.55058642600065,38.06954375322784,OK
1500,7.8,14:29:04,7.8,38.164575124001715,29143.1660642398,1500.0,499.10979866992193,2.409457877730837,11.024603112733779,152.88446399092223,38.81453454246714,OK
